informal,formal
من این محصول رو پیش خرید کرده بودم گوشی قبلیم هم نوت 5 بود انصافا نوت 5 هیچی کم و کاستی نداشت در مورد این گوشی باید بگم صفحه نمایشش عالیه واقعا روون کار می کنه سریعه دورینش واقعا حرف نداره امکاناتی که میده از جمله قلمش و برنامه های سلامتی عالیه در سیستم عامل اندروید واقعا یکی از بهترین هاست رنگ مشکیش هم واقعا غوغا میکنه زیباست اکثر همکارام متوجه شدند که گوشیم رو عوض کردم من از اسکن چشم استفاده میکنم و کاربدیه بعضی جا ها نور زیاد که هست کار نمی کنه البیته من ساعت گیر 3 رو گرفتم و به عنوان دستگاه قابل اعتماد شناسوندم و راحت الکی قفل نمیشه در ضمن می تونید به گزینه های قفل هوشمند رجوع کنید و ایتم ها خوبی داره مثل محل قابل اعتماد مثل خونتون که قفل نشه داخل خونتون یک توصیه که به دوستان دارم همراه این گوشی ساعت گیر 3 و هدفون بیسیم یو پرو نیز بخرند و گوشیشون رو تو خیابون اینها دست نگیرند و تو کیف و یا لباسشون بزارند من با استفاده از برنامه اسمارت سوییج کلیه اطلاعات گوشیم رو منتقل کردم حتی تم گوشی قبلیم حتی چیدمان ایکون ها و حتی پسورد های وایرلس خونه و شرکت خیلی جالب بود عکس و شماره هاو اس ام اس و ها و اطلاهات تماس ها هم براحتی اب خوردن منتقل شدند کل این پروسه نیم ساعت با کابل طول کشید در کل من اعتقاد دارم گوشی باید پرچم دار باشه مخصوصا برای افرادی که همه کار و زندگیشون با گوشیه هنور دکس رو امتحان نکردم هدیه ها هم فعلا بجز فیدیبو امتحان نکردم اما هدیه هاش کاربریه و کاملا ارزشمند یک مورد هم بهتره بدوستان بگم اینکه فلش های OTG که برای یو اس بی های تایپ B بود الان با رابط کار نمی کنه و بایستی فلش OTG تایپ C بخریم که در دیجی کالا هم موجوده من برای گوشیم از همون کاور ساده پشت گوشی در جعبه اولیه بود استفاده می کنم و روش گلس اینها ننداختم اینطوری بیشتر حال می کنم,من این محصول را پیش ‌خرید کرده بودم گوشی قبلی‌ام هم نوت ۵ بود انصافاً نوت ۵ هیچ کم و کاستی نداشت در مورد این گوشی باید بگویم صفحه نمایش آن عالی است و واقعاً روان کار می‌کند سریع است دوربین آن واقعاً حرف ندارد امکاناتی که می‌دهد از جمله قلم آن و برنامه‌های سلامتی عالی هستند در سیستم عامل اندروید واقعاً یکی از بهترین‌ها است رنگ مشکی‌اش هم واقعاً غوغا می‌کند زیبا است. اکثر همکارانم متوجه شدند که گوشی‌ام را عوض کردم من از اسکن چشم استفاده می‌کنم و کاربردی است بعضی جاها نور زیاد کار نمی‌کند البته من ساعت گیر 3 را گرفتم و به عنوان دستگاه قابل اعتماد شناخته‌ام و راحت الکی قفل نمی‌شود در ضمن می‌توانید به گزینه‌های قفل هوشمند رجوع کنید و آیتم‌های خوبی دارد مثل محل قابل اعتماد مثل خانه‌تان که قفل نشود داخل خونه‌تان یک توصیه‌ای که به دوستان دارم این است که همراه این گوشی، ساعت گیر ۳ و هدفون بی‌سیم یو پرو نیز بخرند و گوشی‌شان را توی خیابان این‌ها دست نگیرند و توی کیف یا لباسشان بگذارند من با استفاده از برنامه اسمارت سوییچ کلیه اطلاعات گوشیم را منتقل کردم حتی تم گوشی قبلی‌ام و چیدمان آیکون‌ها و حتی پسورد‌های وایرلس خانه و شرکت. خیلی جالب بود عکس‌ها شماره‌ها پیام‌ها و اطلاعات تماس‌ها هم به راحتی منتقل شدند کل این پروسه نیم ساعت با کابل طول کشید در کل من اعتقاد دارم گوشی باید پرچم‌دار باشد مخصوصاً برای افرادی که همه‌ی کار و زندگی‌شان با گوشی است هنور دکس را امتحان نکرده‌ام هدیه‌ها هم فعلاً بجز فیدیبو امتحان نکردم اما هدیه‌هایش کاربردی است و کاملاً ارزشمند است یک مورد هم بهتر است به دوستان بگویم این است که فلش‌های OTG که برای یو‌اس‌بی‌های تایپ B بود الان با رابط کار نمی‌کند و باید فلش OTG تایپ C بخریم که در دیجی کالا هم موجود است من برای گوشی‌ام از همان کاور ساده پشت گوشی در جعبه اولیه استفاده می‌کنم و روی آن گلس ننداخته ام اینطوری بیشتر حال می‌کنم.
گوشیه فوق العاده ای هستش اصلا نمیشه براش عیب و ایرادی گرفت دیجی جووون بابت هدیه ها ممنون,گوشی فوق‌العاده‌ای است اصلاً نمی‌شود برای آن عیب و ایرادی گرفت دیجی جان بابت هدیه‌ها ممنونم.
من 7 تا خرو دیدم,من ۷ تا خر را دیدم
کاملترین گوشی ای که در حال حاضر تو این رنج قیمت میشه خرید من قصد داشتم صبر کنم برا آیفون x ولی نظرم عوض شد و اینو پیش خرید کردم واقعا راضیم ازش بیشتر به خاطر قلم s pen خریدمش ولی بعد دو سه هفته کار کردن باهاش هیچ نقطه ضعف و مشکل حتی جزئی ندیدم و فقط اسپیکرهاش اگه استریو بود کیفیت صدا با چیزی که الان هست خیلی فرق میکرد گرچه الانم خوبه و راضی کننده هستش به راحتی میتونه از پس هر کار سنگینی بر بیاد یعنی 6 گیگ رم فقط روی کاغذ نیست اگه باهاش کار کنین کاملا متوجه تفاوتش با بقیه گوشی های هم رده غیر از آیفون ها در بحث سرعت میشین از دیجی کالا بابت تحویل زودتر از موعدش ممنونم,کامل‌ترین گوشی ای که در حال حاضر در این رنج قیمت می‌شود خرید من قصد داشتم صبر کنم برای آیفون X ولی نظرم عوض شد و این را پیش‌خرید کردم واقعاً راضی هستم بیشتر به خاطر قلم S Pen خریدم آن را. اما بعد از دو سه هفته کار کردن با آن هیچ نقطه ضعف و مشکل حتی جزئی ندیدم فقط اسپیکرهایش استریو بودند کیفیت صدا با چیزی که الان هست خیلی فرق می‌کرد گرچه الان هم خوب است و راضی‌کننده است به راحتی می‌تواند از پس هر کار سنگینی برآید یعنی ۶ گیگابایت رم فقط روی کاغذ نیست اگر با آن کار کنید کاملاً متوجه تفاوت آن با بقیه گوشی‌های هم رده غیر از آیفون‌ها در بحث سرعت می‌شوید از دیجی‌کالا بابت تحویل زودتر از موعد آن ممنونم.
باسلام من این گوشیرو باگارانتی مایکروتل پیش خرید کردم چند روزه رسیده دستم تقریباً همه چیش خوبه بجز قلمش وقتی میخوای چیزی بنویسی باید حتماً فشاربدی رو قلم وگرنه حرفها رو بریده بریده مینویسه مثل خودکاری که رنگش داره تموم میشه واقعا حالم گرفته شده امیدوارم دیجی کالا زودتر گوشیرو برام تعویض کنه باتشکر,با سلام، من این گوشی را با گارانتی مایکروتل پیش‌خرید کردم و چند روز است دستم رسیده است تقریباً همه چیز آن خوب است بجز قلم آن وقتی می‌خواهی چیزی بنویسی باید حتماً فشار بدهی روی قلم وگرنه حرف‌ها را بریده بریده می‌نویسد مثل خودکاری که رنگ آن تمام می‌شود واقعاً حالم گرفته شده است امیدوارم دیجی‌کالا زودتر گوشی را برایم تعویض کند. با تشکر.
گوشی بسیار باکیفیت بود و مشکلاتی که دوستان اشاره کردند رو نداشت صدای دو طرف واضح بود همه دگمه های گوشی نرم و خوب عمل میکنن به جز دگمه جهت بالا که یکم خشک عمل میکنه نسبت به قیمت دوربین خوبی داره ظاهرش خوبه,گوشی بسیار با کیفیت بود و مشکلاتی که دوستان اشاره کردند را نداشت صدای دو طرف واضح بود و همه دکمه‌های گوشی نرم و خوب عمل می‌کرنند به جز دکمه جهت بالا که یکم خشک عمل می‌کند نسبت به قیمت دوربین خوبی دارد و ظاهر آن خوب است
گوشی خوبی نی حافظه فولدر سازی برای قسمت پیام اش کمه موقع نوشتن پیام اذیت میکنه راحت میشه هکش کرد امنیت اش پایینه تعداد لیست بلک لیست پیام و لیست رد تماسش کمه,گوشی مناسبی نیست. امکان فولدر سازی برای قسمت پیام آن کم است و موقع نوشتن پیام اذیت می‌کند راحت می‌شود هک کرد آن را امنیت آن پایین است و تعداد لیست‌های بلک لیست پیام و رد تماس آن کم است.
موبایل را خریدم راحت هک میشه اس ام اس دادن باهاش زجر آوره لیست بلک لیست تماس و بلک لیست پیامش کمه تعداد فولدر های پیام کم است یکی چند بار با هک کردن موبایلم با لیست کانتکت های من تماس گرفته یک بار هم گوشی روی میز بود که هکر با گوشی به کانتکت من زنگ زده و قطع کرده یک بار هم ساعت 2 نصفه شب طرف موبایلم را هک کرده و به کانتکت من زنگ زده چند بار لطفا فقط موبایلی که محافظت داره و نمیشه راحت هکش کرد بیارین,موبایلی را خریده‌اید که راحت هک می‌شود و ارسال اس‌ام‌اس با آن زجرآور است لیست بلک لیست تماس و بلکلیست پیام آن کم است تعداد فولدرهای پیام آن کم است یک نفر چند بار با هک کردن موبایل من با لیست کانتکت‌های من تماس گرفته است یک بار هم گوشی رویمیز بوده است که هکر با گوشی به کانتکت من زنگ زده و قطع کرده است یک بار هم ساعت 2 نصف شب طرف موبایل من را هک کرده و به کانتکت من زنگ زده چند بار لطفا فقط موبایلی که محافظت دارد و نمی‌شود راحت هک آن را کرد بیاورید
سلام من 5ساله این گوشی رو دارم و هنوز مث روز اول کار میکنه و هیچی از گوشیای الان که روز به روز تو بازار میاد کم نداره گوشی خیلی قوی هست,سلام. من ۵ سال است که این گوشی را دارم و هنوز هم مثل روز اول کار می‌کند و هیچی از گوشی‌های الان که روز به روز تو بازار می‌آیند کم ندارد. این گوشی خیلی قوی است.
دوساله دارمش یبار هنگ نکرده چندبارم افتاده اخ نگفته نه گلسی نه قابی نه هیچی روش نداختم یه مزیت عالیشم اینه که سیم شارژش بلنده برخلاف بقیه گوشیا فقط حافظش ضعیفه 4جی هم نیست,دو سال است که آن را دارم و یک بار هم هنگ نکرده است و چند بار هم افتاده است اما نه گلسی نه قابی نه هیچی روی آن نذاشتم یک مزیت عالی‌اش هم این است که سیم شارژ آن بلند است و برخلاف بقیه گوشی‌ها فقط حافظه‌اش ضعیف نیست و ۴جی هم ندارد
در خریدش شک نکنید نه هنگ داره نه داغ میکنه دوربینش هم که عالیه فقط هندزفری نداره همراش که همین بدیشه وگرنه عالییییه,در خرید آن شک نکنید نه هنگ می‌کند و نه داغ می‌کند دوربین آن هم که عالی است فقط هندزفری ندارد همراه آن که همین بدی اش است وگرنه عالی است
باسلام این گوشی رو من حدود 2ساله دارم بعنوان گوشی دم دستی خریدم از این نظر خیلی خوب و مقرون بصرفه ست و اما اینکه نوشتم بدون مرگ دلیلش اینه که دیروز فراموش کردم گوشی رو تو جیب شلوار بمدت 2ساعت تو لباسشویی تمام اتوماتیک شسته شد بعد از یک روز که گذاشتم خشک شد بدون کوچکترین مشکل و مثل روز اول روشن شد,باسلام این گوشی را من حدود ۲ سال است دارم و به عنوان گوشی دم دستی خریدم از این نظر خیلی خوب و مقرون به صرفه است. و اما اینکه نوشتم بدون مرگ دلیلش این است که دیروز فراموش کردم گوشی را تو جیب شلوار به مدت ۲ ساعت در لباسشویی تمام اتوماتیک شسته شد بعد از یک روز که گذاشتم خشک شود بدون کوچکترین مشکل و مثل روز اول روشن شد
گوشی خوبی ولی هیچ وقت باهاش کلش بازی نکنید چون زود خرابش میکنه از دیگر ایرادتشم داغ شدنش کلا گوشی کار راه اندازیه ولی باطریش خیلییییی ضعیفه گوشی که بعد دو سال باید عوضش کرد چون اندرویدش زود خراب میشه,گوشی خوبی است ولی هیچ وقت باهاش کلش بازی نکنید چون زود خراب‍اش می‌کند از دیگر ایراداتش هم داغ شدنش است کلاً گوشی کار راه‌اندازی است ولی باطری‌اش خیلی ضعیف است گوشی که بعد از دو سال باید عوض‌اش کرد چون اندروید آن زود خراب می‌شود
یه دونه از این گوشی برای یکی از بستگانم سفارش دادم تو این رنج قیمت گوشی خوبی هست,یک دونه از این گوشی را برای یکی از بستگانم سفارش دادم تو این رنج قیمت گوشی خوبی است
اگه باهام یه بار دیگ دعوا کنی باهات قهر میکنم,اگر بار دیگر با من دعوا کنید با شما قهر میکنم
دیگه سر من داد نزن وگرنه میرم,دیگر سر من داد نزن در غیر این صورت میروم
با سلام من از اول گوشیای ال جی خریدم از الجی آرنا با سیستم جاوا تا g2 و الان هم g6 دارم واقعا ال جی رو دوست دارم و همچنین نو آوری های این شرکت هر کاری ال جی میکنه دیگر برندها بلاخره همون کار رو انجام میدن جی 6 خیلی گوشی خوش ساخت و خوش دسته وقتی اون تو دست میگیری نسبت به دیگر گوشی ها متوجه حرفم میشید دوربین واید عقب گوشی عالیه جوری که دوربین های دیگه یه جورایی بی استفاده به نظر میرسه دوربین سلفیش شاید به زیبایی سامسوگ یا هوواوی عکس نگیره ولی بازم لنز وایدش کاربردیه به نظر من در خرید این گوشی شک نکنید,با سلام من از ابتدا گوشی‌های ال‌جی خریده‌ام از ال‌جی آرنا با سیستم جاوا تا G2 و الان هم G6 دارم واقعاً ال‌جی را دوست دارم و همچنین نوآوری‌های این شرکت هر کاری ال‌جی انجام می‌دهد دیگر برندها بلاخره همان کار را انجام می‌دهند G6 خیلی گوشی خوش ساخت و خوش ‌دست است وقتی آن را در دست می‌گیرید نسبت به دیگر گوشی‌ها متوجه حرف من می‌شوید دوربین واید عقب گوشی عالی است به طوری که دوربین‌های دیگر به طریقی بی‌استفاده به نظر می‌رسند دوربین سلفی‌اش شاید به زیبایی سامسونگ یا هوآوی عکس نگیرد ولی باز هم لنز وایدش کاربردی است به نظر من در خرید این گوشی شک نکنید
سلام دوستان من این گوشی نسبت به آیفون7 الجی وی20 الجی جی 5 مقایسه میکنم هر سه این گوشی ها رو دارم قدرت پردازنده مرکزیشون و رم داخلی گوشی های الجی رو کاغذ هر سه یکسان و خیلی بالاتر از آیفون7 هست ولی با این حال آیفون تو بازی ها خیلی بهتر و سرتره نکته بعدی با اینکه LG6 پلاس خیلی بعد از lg v20 amp lg g5 معرفی شده ولی کیفیت دوربین سلفیش به شدت از lg g5 و دوربین پشتش از lg V20 پایین تره حالا چرا من این گوشی گرفتم 128 گیگابایت حافظه داخلی با یه مموری 128 گیگ با یه اکانت اسپاتیفای گزینه Hi fi Quad DAC روشن هدفن بسیار عالی ساعت ها با بهترین کیفیت صدا موزیک گوش بدید صفحه نمایشش و همچنین قاب پشتش هم کاملا مورد جذبتون میکنه نکته مثبت دیگه کاهش بسیار زیاد قیمت گوشی توسط خوده الجی هست که فکر میکنم الان بعد حدود یکسال از عرضه گوشی می ارزه اگر قاب خواستید بخرید میتونید از قاب های LG G6 هم استفاده کنید ولی برای گلس یا ضد خش صفحه نمایش باید حتما برای LG 6 PLUS تهیه کنید,سلام دوستان من این گوشی را نسبت به آیفون 7 ال‌جی V20 و ال‌جی G5 مقایسه می‌کنم هر سه این گوشی‌ها را دارم قدرت پردازنده مرکزی آنها و رم داخلی گوشی‌های ال‌جی روی کاغذ هر سه یکسان و خیلی بالاتر از آیفون 7 است ولی با این حال آیفون در بازی‌ها خیلی بهتر و سرتر است نکته بعدی این است که با وجود اینکه LG G6 Plus خیلی بعد از LG V20 و LG G5 معرفی شده است اما کیفیت دوربین سلفی آن به شدت از LG G5 و دوربین پشت آن از LG V20 پایین‌تر است حالا چرا من این گوشی را گرفتم ۱۲۸ گیگابایت حافظه داخلی با یک مموری ۱۲۸ گیگ با یک اکانت اسپاتیفای گزینه Hi-Fi Quad DAC روشن هدفن بسیار عالی ساعت‌ها با بهترین کیفیت صدا موزیک گوش بدهید صفحه‌ نمایش آن و همچنین قاب پشت آن هم کاملاً مورد جذبتان قرار می‌گیرد نکته مثبت دیگر کاهش بسیار زیاد قیمت گوشی توسط خود ال‌جی است که فکر می‌کنم الان بعد حدود یکسال از عرضه گوشی می‌ارزد اگر قاب خواستید بخرید می‌توانید از قاب‌های LG G6 هم استفاده کنید ولی برای گلس یا ضد خش صفحه نمایش باید حتماً برای LG G6 Plus تهیه کنید
من همون هفته اولی که دیجی موجود کرد گرفتم و واقعا فوقلعادست همچیش عالیه و حتما پیشنهاد میکنم کاملا ارزش داره مخصوصا با این باندل,من همان هفته اولی که دیجی‌ موجود کرد گرفتم و واقعاً فوق‌العاده است. همه چیزش عالی است و حتماً پیشنهاد می‌کنم، کاملاً ارزش دارد، مخصوصاً با این باندل.
این گوشی با طراحی فوق العاده امکان نداره در صورت سقوط از ارتفاع به ال سی دی اش ضربه وارد بشه تا بحال بیش از 5 بار از ارتفاع بیش از دو متر روی سرامیک و موزاییک سقوط کرده ولی دریغ از کوچکترین مشکل و یا آسیبی شما میتونید با هر وزنی که دارید با هردو پا روی گوشی برید با خیال راحت و بدون ایجاد کوچکترین مشکلی,این گوشی با طراحی فوق‌العاده، امکان ندارد در صورت سقوط از ارتفاع به ال‌سی‌دی‌اش ضربه وارد بشود تا به حال بیش از ۵ بار از ارتفاع بیش از دو متر روی سرامیک و موزاییک سقوط کرده ولی دریغ از کوچک‌ترین مشکل و یا آسیبی شما می‌توانید با هر وزنی که دارید با هر دو پا روی گوشی بروید با خیال راحت و بدون ایجاد کوچک‌ترین مشکلی
بعد از دو سال گوشیم کند شد و ریست می شد مرتب و دیگه روشن نشد خوشبختانه از دیجی کالا خریده بودم همراه با گارانتی و یکماه قبل از اتمام گارانتی مراجعه کردم به مدیا پردازس در عرض یکساعت برد گوشی عوض کردن و تحویلم دادن در کل طی این مدت از عملکرد دوربین خیلی راضی بودم و سرعت و سادگی گوشی و بروزرسانی هاش,بعد از دو سال گوشی‌ام کند شد و ریست می‌شد و دیگر روشن نشد خوشبختانه از دیجی‌کالا خریده بودم همراه با گارانتی و یک ماه قبل از اتمام گارانتی مراجعه کردم به مدیا پردازس در عرض یک ساعت گوشی عوض کردند و تحویلم دادند در کل طی این مدت از عملکرد دوربین خیلی راضی بودم و سرعت و سادگی گوشی و بروزرسانی‌هایش
عالی بودوهنوزم دارمش وازش لذت میبرم,عالی بود و هنوز هم دارم آن را و از آن لذت می‌برم
واقعا گوشی خوبی بود من کوبیدمش تو دیوار هیچیش نشد ولی دیگه رو موزاییک کف آشپزخونه دوام نیاورد,واقعاً گوشی خوبی بود من کوبیدم‌اش در دیوار هیچی نشد ولی دیگر روی موزاییک کف آشپزخانه دوام نیاورد
در کل به نسبت پول پرداختی گوشی بسیار عالی میباشد و از پس تمام برنامه ها و بازی های متوسط برمی آید,در کل، به نسبت پول پرداختی، گوشی بسیار عالی می‌باشد و از پس تمام برنامه‌ها و بازی‌های متوسط برمی‌آید
من دو سال پیش از دیجی برای مادرم خریدم چند وقت پیش شیار سیمکارت یکش قطع شد الانم شیار دومش بردم برای تعمیر گفت ال جی اگه خراب شه دیگه کارش نمیشه کرد همونم شد و هرکاری کردیم درست نشد اون زمان گوشی خوبی بود ولی الان با هرقیمتیم بدن نمیصرفه نخرید,من دو سال پیش از دیجی‌کالا برای مادرم خریدم چند وقت پیش شیار سیم‌کارت یک‌اش قطع شد الان هم شیار دوم آن بردم برای تعمیر گفتند ال‌جی اگر خراب شود دیگر کاری نمی‌شود کرد همان هم شد و هر کاری کردیم درست نشد آن زمان گوشی خوبی بود ولی الان با هر قیمتی هم بدهند نمی‌صرفد
